Location_x,Location_y,PCI,RSRP,RSRQ,SNR,Location_SC1_x,Location_SC1_y,Location_SC2_x,Location_SC2_y,Location_SC3_x,Location_SC3_y,Location_SC5_x,Location_SC5_y,Power_SC1,Power_SC2,Power_SC3,Power_SC5,time,file_name
693,212,54,-78.4,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,13:36.2,18Apr13_171335.1.nmf
693,212,54,-79.8,-6.4,30,251,207,480,151,631,209,753,152,19,19,19,19,13:36.1,18Apr13_171335.1.nmf
151,123,1,-104.3,-11.1,1.4,251,207,480,151,631,209,753,152,19,19,19,19,48:05.1,18Apr13_164801.1.nmf
151,123,1,-101.9,-7.6,10.7,251,207,480,151,631,209,753,152,19,19,19,19,48:03.9,18Apr13_164801.1.nmf
151,123,1,-100.9,-7.1,11.3,251,207,480,151,631,209,753,152,19,19,19,19,48:01.3,18Apr13_164801.1.nmf
724,257,54,-98,-8.5,6.4,251,207,480,151,631,209,753,152,19,19,19,19,23:26.9,18Apr13_162324.1.nmf
724,257,54,-97.8,-9.3,3.8,251,207,480,151,631,209,753,152,19,19,19,19,23:25.6,18Apr13_162324.1.nmf
724,257,54,-93.8,-10.4,2.8,251,207,480,151,631,209,753,152,19,19,19,19,23:25.6,18Apr13_162324.1.nmf
724,257,54,-99.6,-8.1,7,251,207,480,151,631,209,753,152,19,19,19,19,23:24.4,18Apr13_162324.1.nmf
469,164,2,-76.1,-6.3,25.8,251,207,480,151,631,209,753,152,19,19,19,19,35:41.1,18Apr13_163535.1.nmf
469,164,2,-74.1,-6.3,27.9,251,207,480,151,631,209,753,152,19,19,19,19,35:38.9,18Apr13_163535.1.nmf
469,164,2,-69.3,-6.4,30,251,207,480,151,631,209,753,152,19,19,19,19,35:38.8,18Apr13_163535.1.nmf
469,164,2,-63.6,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,35:36.5,18Apr13_163535.1.nmf
469,164,2,-66.9,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,35:36.2,18Apr13_163535.1.nmf
827,122,3,-85.9,-9.1,24,251,207,480,151,631,209,753,152,19,19,19,19,04:52.0,18Apr13_170449.1.nmf
827,122,3,-84.4,-9,27.6,251,207,480,151,631,209,753,152,19,19,19,19,04:51.8,18Apr13_170449.1.nmf
827,122,3,-82.9,-9,30,251,207,480,151,631,209,753,152,19,19,19,19,04:49.7,18Apr13_170449.1.nmf
681,207,54,-77.6,-6.4,28.3,251,207,480,151,631,209,753,152,19,19,19,19,13:46.3,18Apr13_171343.1.nmf
681,207,54,-75.7,-6.3,29.9,251,207,480,151,631,209,753,152,19,19,19,19,13:45.0,18Apr13_171343.1.nmf
681,207,54,-75.4,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,13:43.8,18Apr13_171343.1.nmf
681,207,54,-79.3,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,13:43.6,18Apr13_171343.1.nmf
280,213,1,-68.1,-6.3,27.9,251,207,480,151,631,209,753,152,19,19,19,19,58:15.9,18Apr13_165810.1.nmf
280,213,1,-75.8,-6.3,25.2,251,207,480,151,631,209,753,152,19,19,19,19,58:14.4,18Apr13_165810.1.nmf
280,213,1,-67.8,-6.4,28.6,251,207,480,151,631,209,753,152,19,19,19,19,58:13.5,18Apr13_165810.1.nmf
280,213,1,-66.3,-6.3,26.5,251,207,480,151,631,209,753,152,19,19,19,19,58:12.3,18Apr13_165810.1.nmf
280,213,1,-69.3,-6.4,27.8,251,207,480,151,631,209,753,152,19,19,19,19,58:11.1,18Apr13_165810.1.nmf
280,213,1,-63.8,-6.3,27.9,251,207,480,151,631,209,753,152,19,19,19,19,58:10.2,18Apr13_165810.1.nmf
728,214,54,-78.4,-6.3,29.5,251,207,480,151,631,209,753,152,19,19,19,19,13:20.7,18Apr13_171317.1.nmf
728,214,54,-74.8,-6.3,30,251,207,480,151,631,209,753,152,19,19,19,19,13:20.6,18Apr13_171317.1.nmf
728,214,54,-81.1,-6.2,27.7,251,207,480,151,631,209,753,152,19,19,19,19,13:18.2,18Apr13_171317.1.nmf
357,273,1,-110,-7,15,251,207,480,151,631,209,753,152,19,19,19,19,55:06.3,18Apr13_165504.1.nmf
357,273,1,-105.5,-7,19.2,251,207,480,151,631,209,753,152,19,19,19,19,55:05.1,18Apr13_165504.1.nmf
357,273,1,-100.6,-6.8,23.3,251,207,480,151,631,209,753,152,19,19,19,19,55:04.1,18Apr13_165504.1.nmf
567,310,54,-100.8,-7,11.4,251,207,480,151,631,209,753,152,19,19,19,19,21:21.9,18Apr13_162117.1.nmf
567,310,54,-101.1,-7.4,9.8,251,207,480,151,631,209,753,152,19,19,19,19,21:20.1,18Apr13_162117.1.nmf
567,310,54,-95.5,-7,11.2,251,207,480,151,631,209,753,152,19,19,19,19,21:18.9,18Apr13_162117.1.nmf
567,310,54,-101.6,-8.4,6.3,251,207,480,151,631,209,753,152,19,19,19,19,21:17.6,18Apr13_162117.1.nmf
444,123,2,-81.9,-9.2,30,251,207,480,151,631,209,753,152,19,19,19,19,37:40.4,18Apr13_163736.1.nmf
444,123,2,-83.4,-8.9,30,251,207,480,151,631,209,753,152,19,19,19,19,37:39.1,18Apr13_163736.1.nmf
